,ST,CB,PB,GO,CA,1-OFF,1-OFF-REB,DCA,DCA-REB
0,0.0,0.0,90.0,0.0,10.0,-0.33871611998904483,-0.38914440567282144,-2.880669319551351,-2.8868754441873463
1,0.0,5.0,85.0,0.0,10.0,-0.1538340300740628,-0.19764337496669032,-2.7279842462910455,-2.733583392070257
2,0.0,10.0,80.0,0.0,10.0,0.032770952276586246,-0.006922199451480992,-2.575299173030726,-2.580407047551402
3,0.0,15.0,75.0,0.0,10.0,0.2164737398264744,0.18301304318041367,-2.4226140997704495,-2.4273486040995924
4,0.0,20.0,70.0,0.0,10.0,0.403394057541343,0.37215627925118316,-2.269929026510159,-2.2744102610426635
5,0.0,25.0,65.0,0.0,10.0,0.5876971960639246,0.5605014393036254,-2.1172439532498393,-2.1215942235450056
6,0.0,30.0,60.0,0.0,10.0,0.7738923256729323,0.7480424583090498,-1.964558879989534,-1.9689027025853574
7,0.0,35.0,55.0,0.0,10.0,0.9583283459036634,0.9347732758756173,-1.8118738067292435,-1.8163379149331305
8,0.0,40.0,50.0,0.0,10.0,1.145406306939298,1.1206878364563309,-1.659188733468938,-1.6639020831259839
9,0.0,45.0,45.0,0.0,10.0,1.3304444420577841,1.3057800895595864,-1.506503660208662,-1.5115974354461215
10,0.0,50.0,40.0,0.0,10.0,1.514916028491744,1.490043989958125,-1.3538185869483277,-1.3594262058970927
11,0.0,55.0,35.0,0.0,10.0,1.700085086453778,1.673473497900297,-1.2011335136880514,-1.2073906341803085
12,0.0,60.0,30.0,0.0,10.0,1.8873206475872917,1.8560625793209766,-1.0484484404277319,-1.0554929656710157
13,0.0,65.0,25.0,0.0,10.0,2.0746420228085696,2.037805206054007,-0.8957633671674412,-0.9037354513942991
14,0.0,70.0,20.0,0.0,10.0,2.255842080039459,2.218695356043536,-0.7430782939071505,-0.7521203480015393
15,0.0,75.0,15.0,0.0,10.0,2.44300436061552,2.3987270135584695,-0.5903932206468453,-0.600649917745206
16,0.0,80.0,10.0,0.0,10.0,2.6291370988626817,2.5778941694052335,-0.4377081473865546,-0.44932642845534426
17,0.0,85.0,5.0,0.0,10.0,2.8166160975163845,2.7561908211417756,-0.2850230741262494,-0.2981521535143693
18,0.0,90.0,0.0,0.0,10.0,2.9966704996173235,2.9336109732941114,-0.13233800086595873,-0.1471293718322122
