,Date,Price,Open,High,Low,Vol.,Change %
0,2020-01-01,96.39,96.5,97.1,96.39,-,0.00%
1,2020-01-02,96.85,96.48,96.87,96.42,-,0.48%
2,2020-01-03,96.84,96.79,97.11,96.71,-,-0.01%
3,2020-01-04,96.78333333333333,96.82666666666667,97.04,96.65333333333334,,
4,2020-01-05,96.72666666666667,96.86333333333334,96.97,96.59666666666666,,
5,2020-01-06,96.67,96.9,96.9,96.54,-,-0.18%
6,2020-01-07,97.0,96.65,97.09,96.62,-,0.34%
7,2020-01-08,97.3,96.83,97.35,96.82,-,0.31%
8,2020-01-09,97.45,97.27,97.56,97.25,-,0.15%
9,2020-01-10,97.36,97.43,97.58,97.3,-,-0.09%
10,2020-01-11,97.35333333333334,97.40333333333334,97.56333333333333,97.30333333333333,,
11,2020-01-12,97.34666666666666,97.37666666666667,97.54666666666667,97.30666666666667,,
12,2020-01-13,97.34,97.35,97.53,97.31,-,-0.02%
13,2020-01-14,97.37,97.36,97.56,97.33,-,0.03%
14,2020-01-15,97.23,97.38,97.44,97.16,-,-0.14%
15,2020-01-16,97.32,97.18,97.36,97.08,-,0.09%
16,2020-01-17,97.64,97.3,97.66,97.27,-,0.33%
17,2020-01-18,97.63,97.41333333333333,97.68333333333334,97.37333333333333,,
18,2020-01-19,97.62,97.52666666666667,97.70666666666666,97.47666666666666,,
19,2020-01-20,97.61,97.64,97.73,97.58,-,-0.03%
20,2020-01-21,97.53,97.63,97.66,97.39,-,-0.08%
21,2020-01-22,97.53,97.62,97.69,97.44,-,0.00%
22,2020-01-23,97.69,97.48,97.8,97.43,-,0.16%
23,2020-01-24,97.85,97.72,97.95,97.67,-,0.16%
24,2020-01-25,97.88666666666666,97.77333333333333,97.96666666666667,97.70666666666666,,
25,2020-01-26,97.92333333333333,97.82666666666667,97.98333333333333,97.74333333333334,,
26,2020-01-27,97.96,97.88,98.0,97.78,-,0.11%
27,2020-01-28,98.02,97.95,98.16,97.9,-,0.06%
28,2020-01-29,97.99,97.95,98.19,97.94,-,-0.03%
29,2020-01-30,97.87,98.03,98.07,97.79,-,-0.12%
30,2020-01-31,97.39,97.87,97.97,97.35,-,-0.49%
31,2020-02-01,97.52666666666667,97.70333333333333,97.94333333333333,97.35666666666667,,
32,2020-02-02,97.66333333333333,97.53666666666668,97.91666666666667,97.36333333333333,,
33,2020-02-03,97.8,97.37,97.89,97.37,-,0.42%
34,2020-02-04,97.96,97.82,98.01,97.79,-,0.16%
35,2020-02-05,98.3,97.94,98.32,97.9,-,0.35%
36,2020-02-06,98.5,98.29,98.57,98.21,-,0.20%
37,2020-02-07,98.68,98.46,98.72,98.42,-,0.18%
38,2020-02-08,98.73,98.53999999999999,98.77333333333333,98.48,,
39,2020-02-09,98.78,98.62,98.82666666666667,98.53999999999999,,
40,2020-02-10,98.83,98.7,98.88,98.6,-,0.15%
41,2020-02-11,98.72,98.86,98.95,98.71,-,-0.11%
42,2020-02-12,99.05,98.77,99.05,98.7,-,0.33%
43,2020-02-13,99.07,98.99,99.11,98.85,-,0.02%
44,2020-02-14,99.12,99.12,99.17,99.0,-,0.05%
45,2020-02-15,99.08,99.13333333333334,99.18333333333334,99.0,,
46,2020-02-16,99.04,99.14666666666666,99.19666666666666,99.0,,
47,2020-02-17,99.0,99.16,99.21,99.0,-,-0.12%
48,2020-02-18,99.44,99.19,99.47,99.14,-,0.44%
49,2020-02-19,99.7,99.43,99.72,99.38,-,0.26%
50,2020-02-20,99.86,99.54,99.91,99.53,-,0.16%
51,2020-02-21,99.26,99.86,99.87,99.23,-,-0.60%
52,2020-02-22,99.29333333333334,99.68666666666667,99.79333333333334,99.19,,
53,2020-02-23,99.32666666666667,99.51333333333334,99.71666666666667,99.15,,
54,2020-02-24,99.36,99.34,99.64,99.11,-,0.10%
55,2020-02-25,98.97,99.33,99.39,98.88,-,-0.39%
56,2020-02-26,99.0,99.08,99.27,98.91,-,0.03%
57,2020-02-27,98.51,99.02,99.05,98.36,-,-0.49%
58,2020-02-28,98.13,98.42,98.66,97.96,-,-0.39%
59,2020-02-29,97.87333333333333,98.32000000000001,98.48,97.7,,
60,2020-03-01,97.61666666666666,98.22,98.3,97.44,,
61,2020-03-02,97.36,98.12,98.12,97.18,-,-0.78%
62,2020-03-03,97.15,97.56,97.69,96.98,-,-0.22%
63,2020-03-04,97.34,97.17,97.59,97.12,-,0.20%
64,2020-03-05,96.82,97.38,97.44,96.52,-,-0.53%
65,2020-03-06,95.95,96.61,96.7,95.71,-,-0.90%
66,2020-03-07,95.59666666666666,96.44333333333333,96.39666666666668,95.35666666666667,,
67,2020-03-08,95.24333333333334,96.27666666666667,96.09333333333333,95.00333333333333,,
68,2020-03-09,94.89,96.11,95.79,94.65,-,-1.10%
69,2020-03-10,96.41,95.34,96.58,95.23,-,1.60%
70,2020-03-11,96.51,96.33,96.69,95.91,-,0.10%
