,Date,Price,Open,High,Low,Vol.,Change %
0,2019-12-31,77.36,77.71,77.71,77.35,2.88K,-0.14%
1,2020-01-01,77.47,77.38,77.715,77.145,,
2,2020-01-02,77.58,77.05,77.72,76.94,9.20K,0.28%
3,2020-01-03,78.03,78.18,78.18,78.02,0.88K,0.58%
4,2020-01-04,77.85333333333334,78.21666666666667,78.21666666666667,77.89666666666666,,
5,2020-01-05,77.67666666666666,78.25333333333334,78.25333333333334,77.77333333333334,,
6,2020-01-06,77.5,78.29,78.29,77.65,0.83K,-0.68%
7,2020-01-07,77.73,77.57,77.84,77.53,0.50K,0.30%
8,2020-01-08,77.73,77.64,77.76,77.59,1.29K,0.00%
9,2020-01-09,77.77,77.61,78.06,77.61,0.69K,0.05%
10,2020-01-10,78.19,78.06,78.07,77.86,7.15K,0.54%
11,2020-01-11,78.28666666666666,78.22333333333333,78.25333333333333,78.04,,
12,2020-01-12,78.38333333333334,78.38666666666667,78.43666666666667,78.22,,
13,2020-01-13,78.48,78.55,78.62,78.4,0.36K,0.37%
14,2020-01-14,78.42,78.55,78.64,78.35,2.02K,-0.08%
15,2020-01-15,78.49,78.41,78.67,78.41,1.43K,0.09%
16,2020-01-16,78.21,78.43,78.43,78.28,0.28K,-0.36%
17,2020-01-17,78.44,78.06,78.42,78.06,0.25K,0.29%
18,2020-01-18,78.48333333333333,78.32666666666667,78.56666666666666,78.21333333333334,,
19,2020-01-19,78.52666666666666,78.59333333333333,78.71333333333334,78.36666666666666,,
20,2020-01-20,78.57,78.86,78.86,78.52,2.32K,0.17%
21,2020-01-21,78.56,78.69,78.69,78.3,0.58K,-0.01%
22,2020-01-22,78.11,78.57,78.57,78.06,1.18K,-0.57%
23,2020-01-23,78.28,78.31,78.39,78.24,0.23K,0.22%
24,2020-01-24,78.6,78.41,78.48,78.33,0.17K,0.41%
25,2020-01-25,78.65666666666667,78.53999999999999,78.61666666666667,78.38666666666667,,
26,2020-01-26,78.71333333333332,78.67,78.75333333333333,78.44333333333333,,
27,2020-01-27,78.77,78.8,78.89,78.5,1.96K,0.22%
28,2020-01-28,79.06,79.04,79.11,79.02,0.93K,0.37%
29,2020-01-29,79.12,78.99,79.22,78.93,0.37K,0.08%
30,2020-01-30,78.61,79.34,79.34,78.67,2.33K,-0.64%
31,2020-01-31,78.44,78.65,78.72,78.41,21.45K,-0.22%
32,2020-02-01,78.77,78.71000000000001,78.99666666666667,78.51666666666667,,
33,2020-02-02,79.10000000000001,78.77,79.27333333333333,78.62333333333333,,
34,2020-02-03,79.43,78.83,79.55,78.73,2.69K,1.26%
35,2020-02-04,79.08,79.84,79.84,79.09,0.33K,-0.44%
36,2020-02-05,79.17,79.29,79.31,78.72,0.64K,0.11%
37,2020-02-06,79.44,78.98,79.36,78.98,0.08K,0.34%
38,2020-02-07,79.76,79.61,79.64,79.51,3.22K,0.40%
