,Date,Price,Open,High,Low,Vol.,Change %
0,2019-12-31,142.9,143.31,143.6,142.8,5.31M,0.19%
1,2020-01-01,143.425,143.585,143.905,143.10000000000002,,
2,2020-01-02,143.95,143.86,144.21,143.4,7.74M,0.73%
3,2020-01-03,145.86,145.75,146.32,145.4,12.29M,1.33%
4,2020-01-04,146.37,146.64666666666668,147.04,145.91666666666666,,
5,2020-01-05,146.88,147.54333333333332,147.76,146.43333333333334,,
6,2020-01-06,147.39,148.44,148.48,146.95,14.41M,1.05%
7,2020-01-07,147.97,147.57,148.14,147.43,8.40M,0.39%
8,2020-01-08,146.86,148.49,148.61,146.14,22.28M,-0.75%
9,2020-01-09,146.03,146.07,146.41,145.44,10.30M,-0.57%
10,2020-01-10,146.91,146.22,146.99,146.17,6.18M,0.60%
11,2020-01-11,146.54666666666665,146.26333333333332,146.78666666666666,146.04,,
12,2020-01-12,146.18333333333334,146.30666666666667,146.58333333333334,145.91,,
13,2020-01-13,145.82,146.35,146.38,145.78,7.60M,-0.74%
14,2020-01-14,145.69,145.42,145.81,145.08,6.61M,-0.09%
15,2020-01-15,146.54,146.21,146.73,145.82,6.51M,0.58%
16,2020-01-16,146.31,146.27,146.47,145.75,6.07M,-0.16%
17,2020-01-17,146.58,146.51,146.99,146.31,11.12M,0.18%
18,2020-01-18,146.62,146.325,146.9575,146.12,,
19,2020-01-19,146.66000000000003,146.14,146.925,145.93,,
20,2020-01-20,146.70000000000002,145.955,146.8925,145.74,,
21,2020-01-21,146.74,145.77,146.86,145.55,6.09M,0.11%
22,2020-01-22,146.79,146.68,146.81,146.38,4.78M,0.03%
23,2020-01-23,147.12,147.0,147.62,146.62,8.42M,0.22%
24,2020-01-24,147.98,146.9,148.38,146.89,9.92M,0.58%
25,2020-01-25,148.31666666666666,147.68,148.69333333333333,147.41333333333333,,
26,2020-01-26,148.65333333333334,148.46,149.00666666666666,147.93666666666667,,
27,2020-01-27,148.99,149.24,149.32,148.46,9.99M,0.68%
28,2020-01-28,147.66,148.36,148.56,147.53,7.54M,-0.89%
29,2020-01-29,148.46,147.7,148.56,147.61,5.02M,0.54%
30,2020-01-30,148.47,148.69,149.31,148.01,9.12M,0.01%
31,2020-01-31,149.33,148.88,149.68,148.81,14.79M,0.58%
32,2020-02-01,149.0066666666667,148.80666666666667,149.38,148.43333333333334,,
33,2020-02-02,148.68333333333334,148.73333333333332,149.08,148.05666666666667,,
34,2020-02-03,148.36,148.66,148.78,147.68,9.12M,-0.65%
35,2020-02-04,146.43,146.97,147.03,145.8,10.53M,-1.30%
36,2020-02-05,146.61,146.38,146.81,146.16,6.16M,0.12%
37,2020-02-06,147.4,147.28,147.63,147.0,4.82M,0.54%
38,2020-02-07,147.79,147.83,148.18,147.34,6.38M,0.26%
39,2020-02-08,147.91666666666666,147.95666666666668,148.27,147.53,,
40,2020-02-09,148.04333333333332,148.08333333333334,148.35999999999999,147.72,,
41,2020-02-10,148.17,148.21,148.45,147.91,5.79M,0.26%
42,2020-02-11,147.66,148.03,148.16,147.01,5.18M,-0.34%
43,2020-02-12,147.54,147.42,147.81,147.16,5.04M,-0.08%
44,2020-02-13,148.38,148.24,148.58,147.95,7.08M,0.57%
45,2020-02-14,149.0,148.74,149.13,148.63,5.35M,0.42%
46,2020-02-15,149.4775,149.025,149.62,148.84,,
47,2020-02-16,149.95499999999998,149.31,150.11,149.05,,
48,2020-02-17,150.4325,149.595,150.6,149.26,,
49,2020-02-18,150.91,149.88,151.09,149.47,11.53M,1.28%
50,2020-02-19,151.79,151.0,151.82,150.81,9.27M,0.58%
51,2020-02-20,152.41,152.0,152.83,151.95,8.46M,0.41%
52,2020-02-21,154.7,154.43,155.22,154.18,16.35M,1.50%
53,2020-02-22,155.16333333333333,155.78666666666666,156.32333333333332,154.57333333333335,,
54,2020-02-23,155.62666666666667,157.14333333333335,157.42666666666668,154.96666666666667,,
55,2020-02-24,156.09,158.5,158.53,155.36,27.17M,0.90%
56,2020-02-25,153.3,155.12,156.08,152.91,28.09M,-1.79%
57,2020-02-26,153.97,153.82,155.28,152.9,17.98M,0.44%
58,2020-02-27,154.0,155.58,156.27,153.9,27.88M,0.02%
59,2020-02-28,148.38,152.71,152.77,147.05,42.71M,-3.65%
60,2020-02-29,148.65333333333334,151.80666666666667,152.09,147.71333333333334,,
61,2020-03-01,148.92666666666665,150.90333333333334,151.41,148.37666666666667,,
62,2020-03-02,149.2,150.0,150.73,149.04,16.30M,0.55%
