,Date,Price,Open,High,Low,Vol.,Change %
0,2019-12-30,252.56,253.2,253.2,252.0,1.07K,-0.22%
1,2020-01-01,252.92000000000002,252.74,253.375,252.01,,
2,2020-01-02,253.28,252.28,253.55,252.02,0.47K,0.29%
3,2020-01-03,255.12,254.73,255.62,254.41,3.72K,0.73%
4,2020-01-04,254.8,254.62666666666667,255.22,254.40666666666667,,
5,2020-01-05,254.48,254.5233333333333,254.82,254.40333333333334,,
6,2020-01-06,254.16,254.42,254.42,254.4,0.05K,-0.38%
7,2020-01-07,254.36,253.66,254.6,253.63,0.91K,0.08%
8,2020-01-08,254.82,254.8,254.82,254.28,1.13K,0.18%
9,2020-01-09,254.05,254.22,254.22,253.55,1.44K,-0.30%
10,2020-01-10,254.35,253.99,254.38,253.97,2.02K,0.12%
11,2020-01-11,254.02333333333334,254.05333333333334,254.31333333333333,253.67333333333335,,
12,2020-01-12,253.69666666666666,254.11666666666667,254.24666666666667,253.37666666666667,,
13,2020-01-13,253.37,254.18,254.18,253.08,2.15K,-0.39%
14,2020-01-14,253.83,253.38,253.84,253.31,0.91K,0.18%
15,2020-01-15,253.71,254.26,254.26,253.72,3.45K,-0.05%
16,2020-01-16,253.87,253.99,253.99,253.59,0.47K,0.06%
17,2020-01-17,254.53,254.17,254.53,253.89,1.86K,0.26%
18,2020-01-18,254.51666666666668,254.29,254.59333333333333,253.98333333333332,,
19,2020-01-19,254.50333333333333,254.41,254.65666666666667,254.07666666666665,,
20,2020-01-20,254.49,254.53,254.72,254.17,1.09K,-0.02%
21,2020-01-21,254.89,254.76,255.11,254.13,1.21K,0.16%
22,2020-01-22,255.12,255.0,255.81,254.89,1.72K,0.09%
23,2020-01-23,257.44,256.27,257.51,255.83,1.10K,0.91%
24,2020-01-24,257.85,257.11,257.93,256.73,0.67K,0.16%
25,2020-01-25,258.44,257.6433333333333,258.50333333333333,257.39,,
26,2020-01-26,259.03000000000003,258.1766666666667,259.07666666666665,258.05,,
27,2020-01-27,259.62,258.71,259.65,258.71,9.59K,0.69%
28,2020-01-28,259.16,259.63,260.1,258.87,2.91K,-0.18%
29,2020-01-29,259.81,259.65,259.81,259.27,3.69K,0.25%
30,2020-01-30,260.16,260.0,260.23,259.65,3.74K,0.13%
31,2020-01-31,259.95,259.46,259.99,259.44,33.13K,-0.08%
32,2020-02-01,259.95,259.62333333333333,260.6566666666667,259.39,,
33,2020-02-02,259.95,259.78666666666663,261.3233333333333,259.34000000000003,,
34,2020-02-03,259.95,259.95,261.99,259.29,3.78K,0.00%
35,2020-02-04,259.09,259.55,259.55,258.72,1.30K,-0.33%
36,2020-02-05,258.55,258.7,258.74,258.05,2.15K,-0.21%
37,2020-02-06,258.69,258.33,258.9,257.93,12.18K,0.05%
38,2020-02-07,259.99,259.5,260.06,259.41,1.61K,0.50%
39,2020-02-08,260.34333333333336,259.71,260.39,259.61,,
40,2020-02-09,260.69666666666666,259.92,260.72,259.81,,
41,2020-02-10,261.05,260.13,261.05,260.01,3.28K,0.41%
42,2020-02-11,260.95,260.41,261.0,260.37,2.23K,-0.04%
43,2020-02-12,260.72,260.73,260.73,259.94,1.83K,-0.09%
44,2020-02-13,261.71,261.11,262.11,261.11,2.84K,0.38%
45,2020-02-14,262.42,262.0,262.42,261.63,2.20K,0.27%
46,2020-02-15,262.47333333333336,262.16333333333336,262.47333333333336,261.75666666666666,,
47,2020-02-16,262.52666666666664,262.32666666666665,262.52666666666664,261.8833333333333,,
48,2020-02-17,262.58,262.49,262.58,262.01,0.79K,0.06%
49,2020-02-18,263.37,262.79,263.42,262.72,1.41K,0.30%
50,2020-02-19,262.52,263.37,263.52,262.65,2.77K,-0.32%
51,2020-02-20,263.1,262.67,263.1,262.0,1.96K,0.22%
52,2020-02-21,262.73,263.66,263.66,262.65,2.24K,-0.14%
53,2020-02-22,263.28000000000003,263.5966666666667,263.94666666666666,262.92333333333335,,
54,2020-02-23,263.83,263.53333333333336,264.23333333333335,263.19666666666666,,
55,2020-02-24,264.38,263.47,264.52,263.47,24.12K,0.63%
56,2020-02-25,264.79,263.85,264.94,263.81,55.47K,0.16%
57,2020-02-26,263.64,263.9,263.97,263.11,130.19K,-0.43%
58,2020-02-27,263.35,263.14,263.35,262.72,29.60K,-0.11%
59,2020-02-28,264.76,263.14,265.27,262.93,6.48K,0.54%
60,2020-02-29,264.15666666666664,263.2833333333333,264.8533333333333,262.79,,
61,2020-03-01,263.55333333333334,263.4266666666667,264.43666666666667,262.65,,
62,2020-03-02,262.95,263.57,264.02,262.51,6.57K,-0.68%
63,2020-03-03,263.93,262.25,263.93,261.96,10.86K,0.37%
64,2020-03-04,264.32,263.65,264.75,263.3,3.59K,0.15%
65,2020-03-05,264.01,264.15,264.59,263.39,3.45K,-0.12%
66,2020-03-06,265.54,264.73,265.54,264.08,12.67K,0.58%
67,2020-03-07,266.51,265.82,266.82,264.6766666666667,,
68,2020-03-08,267.48,266.91,268.1,265.2733333333333,,
69,2020-03-09,268.45,268.0,269.38,265.87,15.44K,1.10%
70,2020-03-10,266.39,269.0,269.0,262.54,9.08K,-0.77%
71,2020-03-11,266.2,264.76,266.2,263.3,10.57K,-0.07%
72,2020-03-12,267.66,267.5,267.66,254.99,13.27K,0.55%
73,2020-03-13,256.92,265.0,265.0,253.51,4.59K,-4.01%
74,2020-03-14,259.09000000000003,262.5466666666667,264.4766666666667,254.12,,
75,2020-03-15,261.26,260.0933333333333,263.9533333333333,254.73,,
76,2020-03-16,263.43,257.64,263.43,255.34,4.77K,2.53%
77,2020-03-17,255.16,259.66,263.05,255.16,3.05K,-3.14%
78,2020-03-18,261.09,255.1,261.09,253.48,6.31K,2.32%
79,2020-03-19,258.2,261.0,261.89,255.0,12.80K,-1.11%
80,2020-03-20,259.93,262.0,264.34,257.69,2.94K,0.67%
81,2020-03-21,261.84333333333336,262.07,264.95666666666665,258.79333333333335,,
82,2020-03-22,263.75666666666666,262.14,265.5733333333333,259.89666666666665,,
83,2020-03-23,265.67,262.21,266.19,261.0,2.73K,2.21%
84,2020-03-24,261.59,265.27,265.54,261.56,1.14K,-1.54%
85,2020-03-25,263.43,260.05,265.68,260.05,14.32K,0.70%
86,2020-03-26,260.03,263.3,265.29,260.03,3.37K,-1.29%
87,2020-03-27,265.07,264.63,266.75,260.42,22.62K,1.94%
88,2020-03-28,265.12333333333333,264.77666666666664,266.6666666666667,260.68,,
89,2020-03-29,265.1766666666667,264.92333333333335,266.5833333333333,260.94,,
90,2020-03-30,265.23,265.07,266.5,261.2,1.79K,0.06%
91,2020-03-31,263.01,265.5,266.74,261.96,0.64K,-0.84%
92,2020-04-01,267.37,263.63,267.37,263.47,1.99K,1.66%
93,2020-04-02,265.51,264.5,268.56,264.5,0.55K,-0.70%
94,2020-04-03,264.97,265.51,270.74,264.97,1.08K,-0.20%
95,2020-04-04,265.24666666666667,265.6766666666667,269.82666666666665,265.24666666666667,,
96,2020-04-05,265.52333333333337,265.8433333333333,268.91333333333336,265.52333333333337,,
97,2020-04-06,265.8,266.01,268.0,265.8,3.66K,0.31%
98,2020-04-07,265.33,264.28,266.08,263.91,2.49K,-0.18%
99,2020-04-08,265.61,264.81,265.82,264.36,17.04K,0.11%
100,2020-04-09,262.76,265.44,266.44,262.76,7.77K,-1.07%
101,2020-04-10,263.008,265.152,266.44,262.93399999999997,,
102,2020-04-11,263.256,264.864,266.44,263.108,,
103,2020-04-12,263.504,264.576,266.44,263.282,,
104,2020-04-13,263.752,264.288,266.44,263.456,,
105,2020-04-14,264.0,264.0,266.44,263.63,2.52K,0.47%
106,2020-04-15,265.41,266.07,268.65,264.42,5.47K,0.53%
107,2020-04-16,267.01,267.05,268.33,266.99,3.15K,0.60%
108,2020-04-17,267.52,268.0,268.34,266.67,3.92K,0.19%
109,2020-04-18,267.1766666666667,267.6666666666667,267.9433333333333,266.46333333333337,,
110,2020-04-19,266.8333333333333,267.3333333333333,267.5466666666666,266.25666666666666,,
111,2020-04-20,266.49,267.0,267.15,266.05,2.74K,-0.39%
112,2020-04-21,266.46,267.78,268.43,266.46,16.72K,-0.01%
113,2020-04-22,266.5,267.38,267.38,265.94,4.89K,0.02%
114,2020-04-23,268.16,267.36,269.43,266.93,2.63K,0.62%
115,2020-04-24,269.13,268.88,269.96,268.45,2.81K,0.36%
116,2020-04-25,268.98,268.8833333333333,269.6033333333333,268.3233333333333,,
117,2020-04-26,268.83,268.88666666666666,269.24666666666667,268.19666666666666,,
118,2020-04-27,268.68,268.89,268.89,268.07,5.56K,-0.17%
119,2020-04-28,268.76,268.54,269.22,266.59,3.26K,0.03%
120,2020-04-29,269.31,268.86,269.5,268.6,0.66K,0.20%
121,2020-04-30,268.09,268.65,269.64,267.23,1.15K,-0.45%
122,2020-05-01,268.03,268.4475,269.215,267.1725,,
123,2020-05-02,267.97,268.245,268.78999999999996,267.115,,
124,2020-05-03,267.91,268.04249999999996,268.365,267.0575,,
125,2020-05-04,267.85,267.84,267.94,267.0,2.09K,-0.09%
126,2020-05-05,268.85,268.1,268.9,267.37,2.54K,0.37%
127,2020-05-06,268.65,269.03,269.54,267.8,4.31K,-0.07%
128,2020-05-07,268.7,268.63,269.14,267.59,9.16K,0.02%
129,2020-05-08,268.44,268.7,269.37,267.78,7.95K,-0.10%
130,2020-05-09,268.1766666666667,268.4533333333333,268.9533333333333,267.58,,
131,2020-05-10,267.9133333333333,268.20666666666665,268.5366666666667,267.38,,
132,2020-05-11,267.65,267.96,268.12,267.18,5.84K,-0.29%
133,2020-05-12,267.1,267.51,267.68,266.78,7.63K,-0.21%
134,2020-05-13,268.3,267.95,268.3,267.56,4.46K,0.45%
135,2020-05-14,269.36,268.24,269.53,268.24,2.94K,0.40%
136,2020-05-15,268.33,269.01,269.48,268.32,4.13K,-0.38%
137,2020-05-16,267.9033333333333,268.7733333333333,269.27000000000004,267.8233333333333,,
138,2020-05-17,267.4766666666667,268.5366666666667,269.06,267.32666666666665,,
139,2020-05-18,267.05,268.3,268.85,266.83,14.29K,-0.48%
140,2020-05-19,265.93,266.1,266.23,264.85,24.20K,-0.42%
141,2020-05-20,265.65,265.9,266.2,265.25,14.38K,-0.11%
142,2020-05-21,266.35,265.42,266.35,264.82,1.99K,0.26%
143,2020-05-22,267.02,267.23,267.54,266.7,3.19K,0.25%
