,Date,Price,Open,High,Low,Vol.,Change %
0,2019-12-31,192.73,192.73,192.73,192.73,,0.03%
1,2020-01-01,193.66,193.66,193.66,193.66,,
2,2020-01-02,194.59,194.59,194.59,194.59,,0.97%
3,2020-01-03,194.12,194.12,194.12,194.12,,-0.24%
4,2020-01-04,194.01666666666668,194.01666666666668,194.01666666666668,194.01666666666668,,
5,2020-01-05,193.91333333333333,193.91333333333333,193.91333333333333,193.91333333333333,,
6,2020-01-06,193.81,193.81,193.81,193.81,,-0.16%
7,2020-01-07,194.3,194.3,194.3,194.3,,0.25%
8,2020-01-08,195.26,195.26,195.26,195.26,,0.49%
9,2020-01-09,196.64,196.64,196.64,196.64,,0.71%
10,2020-01-10,196.26,196.26,196.26,196.26,,-0.19%
11,2020-01-11,196.42666666666665,196.42666666666665,196.42666666666665,196.42666666666665,,
12,2020-01-12,196.59333333333333,196.59333333333333,196.59333333333333,196.59333333333333,,
13,2020-01-13,196.76,196.76,196.76,196.76,,0.25%
14,2020-01-14,197.01,197.01,197.01,197.01,,0.13%
15,2020-01-15,196.77,196.77,196.77,196.77,,-0.12%
16,2020-01-16,198.1,198.1,198.1,198.1,,0.68%
17,2020-01-17,199.7,199.7,199.7,199.7,,0.81%
18,2020-01-18,199.72,199.72,199.72,199.72,,
19,2020-01-19,199.73999999999998,199.73999999999998,199.73999999999998,199.73999999999998,,
20,2020-01-20,199.76,199.76,199.76,199.76,,0.03%
21,2020-01-21,199.13,199.13,199.13,199.13,,-0.32%
22,2020-01-22,199.63,199.63,199.63,199.63,,0.25%
23,2020-01-23,199.83,199.83,199.83,199.83,,0.10%
24,2020-01-24,199.3,199.3,199.3,199.3,,-0.27%
25,2020-01-25,198.27666666666667,198.27666666666667,198.27666666666667,198.27666666666667,,
26,2020-01-26,197.25333333333333,197.25333333333333,197.25333333333333,197.25333333333333,,
27,2020-01-27,196.23,196.23,196.23,196.23,,-1.54%
28,2020-01-28,197.82,197.82,197.82,197.82,,0.81%
29,2020-01-29,197.94,197.94,197.94,197.94,,0.06%
30,2020-01-30,197.19,197.19,197.19,197.19,,-0.38%
31,2020-01-31,193.9,193.9,193.9,193.9,,-1.67%
32,2020-02-01,194.9025,194.9025,194.9025,194.9025,,
33,2020-02-02,195.905,195.905,195.905,195.905,,
34,2020-02-03,196.9075,196.9075,196.9075,196.9075,,
35,2020-02-04,197.91,197.91,197.91,197.91,,2.07%
36,2020-02-05,200.57,200.57,200.57,200.57,,1.34%
37,2020-02-06,202.0,202.0,202.0,202.0,,0.71%
38,2020-02-07,201.27,201.27,201.27,201.27,,-0.36%
39,2020-02-08,201.75666666666666,201.75666666666666,201.75666666666666,201.75666666666666,,
40,2020-02-09,202.24333333333334,202.24333333333334,202.24333333333334,202.24333333333334,,
41,2020-02-10,202.73,202.73,202.73,202.73,,0.73%
42,2020-02-11,203.59,203.59,203.59,203.59,,0.42%
43,2020-02-12,205.13,205.13,205.13,205.13,,0.76%
44,2020-02-13,205.64,205.64,205.64,205.64,,0.25%
45,2020-02-14,205.82,205.82,205.82,205.82,,0.09%
46,2020-02-15,205.85,205.85,205.85,205.85,,
47,2020-02-16,205.88,205.88,205.88,205.88,,
48,2020-02-17,205.91,205.91,205.91,205.91,,0.04%
49,2020-02-18,205.41,205.41,205.41,205.41,,-0.24%
50,2020-02-19,206.85,206.85,206.85,206.85,,0.70%
51,2020-02-20,205.73,205.73,205.73,205.73,,-0.54%
52,2020-02-21,203.34,203.34,203.34,203.34,,-1.16%
53,2020-02-22,201.28,201.28,201.28,201.28,,
54,2020-02-23,199.22,199.22,199.22,199.22,,
55,2020-02-24,197.16,197.16,197.16,197.16,,-3.04%
56,2020-02-25,191.65,191.65,191.65,191.65,,-2.79%
57,2020-02-26,190.71,190.71,190.71,190.71,,-0.49%
58,2020-02-27,181.87,181.87,181.87,181.87,,-4.64%
59,2020-02-28,179.06,179.06,179.06,179.06,,-1.55%
60,2020-02-29,180.18,180.18,180.18,180.18,,
61,2020-03-01,181.29999999999998,181.29999999999998,181.29999999999998,181.29999999999998,,
62,2020-03-02,182.42,182.42,182.42,182.42,,1.88%
63,2020-03-03,178.98,178.98,178.98,178.98,,-1.89%
64,2020-03-04,185.0,185.0,185.0,185.0,,3.36%
65,2020-03-05,180.1,180.1,180.1,180.1,,-2.65%
66,2020-03-06,174.65,174.65,174.65,174.65,,-3.03%
67,2020-03-07,169.91333333333333,169.91333333333333,169.91333333333333,169.91333333333333,,
68,2020-03-08,165.17666666666668,165.17666666666668,165.17666666666668,165.17666666666668,,
69,2020-03-09,160.44,160.44,160.44,160.44,,-8.14%
70,2020-03-10,166.06,166.06,166.06,166.06,,3.50%
71,2020-03-11,160.54,160.54,160.54,160.54,,-3.32%
72,2020-03-12,147.32,147.32,147.32,147.32,,-8.23%
73,2020-03-13,156.08,156.08,156.08,156.08,,5.95%
74,2020-03-14,150.83666666666667,150.83666666666667,150.83666666666667,150.83666666666667,,
75,2020-03-15,145.59333333333333,145.59333333333333,145.59333333333333,145.59333333333333,,
76,2020-03-16,140.35,140.35,140.35,140.35,,-10.08%
77,2020-03-17,148.29,148.29,148.29,148.29,,5.66%
78,2020-03-18,142.42,142.42,142.42,142.42,,-3.96%
79,2020-03-19,145.46,145.46,145.46,145.46,,2.13%
80,2020-03-20,141.93,141.93,141.93,141.93,,-2.43%
81,2020-03-21,140.23333333333335,140.23333333333335,140.23333333333335,140.23333333333335,,
82,2020-03-22,138.53666666666666,138.53666666666666,138.53666666666666,138.53666666666666,,
83,2020-03-23,136.84,136.84,136.84,136.84,,-3.59%
84,2020-03-24,148.46,148.46,148.46,148.46,,8.49%
85,2020-03-25,151.57,151.57,151.57,151.57,,2.09%
86,2020-03-26,156.51,156.51,156.51,156.51,,3.26%
87,2020-03-27,151.96,151.96,151.96,151.96,,-2.91%
88,2020-03-28,153.35333333333332,153.35333333333332,153.35333333333332,153.35333333333332,,
89,2020-03-29,154.74666666666667,154.74666666666667,154.74666666666667,154.74666666666667,,
90,2020-03-30,156.14,156.14,156.14,156.14,,2.75%
91,2020-03-31,155.5,155.5,155.5,155.5,,-0.41%
92,2020-04-01,149.96,149.96,149.96,149.96,,-3.56%
93,2020-04-02,152.77,152.77,152.77,152.77,,1.87%
94,2020-04-03,151.45,151.45,151.45,151.45,,-0.86%
95,2020-04-04,154.45,154.45,154.45,154.45,,
96,2020-04-05,157.45,157.45,157.45,157.45,,
97,2020-04-06,160.45,160.45,160.45,160.45,,5.94%
98,2020-04-07,160.35,160.35,160.35,160.35,,-0.06%
99,2020-04-08,164.47,164.47,164.47,164.47,,2.57%
100,2020-04-09,165.94,165.94,165.94,165.94,,0.89%
101,2020-04-10,166.456,166.456,166.456,166.456,,
102,2020-04-11,166.972,166.972,166.972,166.972,,
103,2020-04-12,167.488,167.488,167.488,167.488,,
104,2020-04-13,168.00400000000002,168.00400000000002,168.00400000000002,168.00400000000002,,
105,2020-04-14,168.52,168.52,168.52,168.52,,1.55%
106,2020-04-15,165.54,165.54,165.54,165.54,,-1.77%
107,2020-04-16,166.72,166.72,166.72,166.72,,0.71%
108,2020-04-17,170.62,170.62,170.62,170.62,,2.34%
109,2020-04-18,169.99666666666667,169.99666666666667,169.99666666666667,169.99666666666667,,
110,2020-04-19,169.37333333333333,169.37333333333333,169.37333333333333,169.37333333333333,,
111,2020-04-20,168.75,168.75,168.75,168.75,,-1.10%
112,2020-04-21,163.82,163.82,163.82,163.82,,-2.92%
113,2020-04-22,167.4,167.4,167.4,167.4,,2.19%
114,2020-04-23,167.94,167.94,167.94,167.94,,0.32%
115,2020-04-24,169.32,169.32,169.32,169.32,,0.82%
