,ST,CB,PB,GO,CA
0,0,0,0,0,100
1,0,0,0,5,95
2,0,0,0,10,90
3,0,0,0,15,85
4,0,0,0,20,80
5,0,0,0,25,75
6,0,0,0,30,70
7,0,0,0,35,65
8,0,0,0,40,60
9,0,0,0,45,55
10,0,0,0,50,50
11,0,0,0,55,45
12,0,0,0,60,40
13,0,0,0,65,35
14,0,0,0,70,30
15,0,0,0,75,25
16,0,0,0,80,20
17,0,0,0,85,15
18,0,0,0,90,10
19,0,0,0,95,5
20,0,0,0,100,0
21,0,0,5,0,95
22,0,0,5,5,90
23,0,0,5,10,85
24,0,0,5,15,80
25,0,0,5,20,75
26,0,0,5,25,70
27,0,0,5,30,65
28,0,0,5,35,60
29,0,0,5,40,55
30,0,0,5,45,50
31,0,0,5,50,45
32,0,0,5,55,40
33,0,0,5,60,35
34,0,0,5,65,30
35,0,0,5,70,25
36,0,0,5,75,20
37,0,0,5,80,15
38,0,0,5,85,10
39,0,0,5,90,5
40,0,0,5,95,0
41,0,0,10,0,90
42,0,0,10,5,85
43,0,0,10,10,80
44,0,0,10,15,75
45,0,0,10,20,70
46,0,0,10,25,65
47,0,0,10,30,60
48,0,0,10,35,55
49,0,0,10,40,50
50,0,0,10,45,45
51,0,0,10,50,40
52,0,0,10,55,35
53,0,0,10,60,30
54,0,0,10,65,25
55,0,0,10,70,20
56,0,0,10,75,15
57,0,0,10,80,10
58,0,0,10,85,5
59,0,0,10,90,0
60,0,0,15,0,85
61,0,0,15,5,80
62,0,0,15,10,75
63,0,0,15,15,70
64,0,0,15,20,65
65,0,0,15,25,60
66,0,0,15,30,55
67,0,0,15,35,50
68,0,0,15,40,45
69,0,0,15,45,40
70,0,0,15,50,35
71,0,0,15,55,30
72,0,0,15,60,25
73,0,0,15,65,20
74,0,0,15,70,15
75,0,0,15,75,10
76,0,0,15,80,5
77,0,0,15,85,0
78,0,0,20,0,80
79,0,0,20,5,75
80,0,0,20,10,70
81,0,0,20,15,65
82,0,0,20,20,60
83,0,0,20,25,55
84,0,0,20,30,50
85,0,0,20,35,45
86,0,0,20,40,40
87,0,0,20,45,35
88,0,0,20,50,30
89,0,0,20,55,25
90,0,0,20,60,20
91,0,0,20,65,15
92,0,0,20,70,10
93,0,0,20,75,5
94,0,0,20,80,0
95,0,0,25,0,75
96,0,0,25,5,70
97,0,0,25,10,65
98,0,0,25,15,60
99,0,0,25,20,55
100,0,0,25,25,50
101,0,0,25,30,45
102,0,0,25,35,40
103,0,0,25,40,35
104,0,0,25,45,30
105,0,0,25,50,25
106,0,0,25,55,20
107,0,0,25,60,15
108,0,0,25,65,10
109,0,0,25,70,5
110,0,0,25,75,0
111,0,0,30,0,70
112,0,0,30,5,65
113,0,0,30,10,60
114,0,0,30,15,55
115,0,0,30,20,50
116,0,0,30,25,45
117,0,0,30,30,40
118,0,0,30,35,35
119,0,0,30,40,30
120,0,0,30,45,25
121,0,0,30,50,20
122,0,0,30,55,15
123,0,0,30,60,10
124,0,0,30,65,5
125,0,0,30,70,0
126,0,0,35,0,65
127,0,0,35,5,60
128,0,0,35,10,55
129,0,0,35,15,50
130,0,0,35,20,45
131,0,0,35,25,40
132,0,0,35,30,35
133,0,0,35,35,30
134,0,0,35,40,25
135,0,0,35,45,20
136,0,0,35,50,15
137,0,0,35,55,10
138,0,0,35,60,5
139,0,0,35,65,0
140,0,0,40,0,60
141,0,0,40,5,55
142,0,0,40,10,50
143,0,0,40,15,45
144,0,0,40,20,40
145,0,0,40,25,35
146,0,0,40,30,30
147,0,0,40,35,25
148,0,0,40,40,20
149,0,0,40,45,15
150,0,0,40,50,10
151,0,0,40,55,5
152,0,0,40,60,0
153,0,0,45,0,55
154,0,0,45,5,50
155,0,0,45,10,45
156,0,0,45,15,40
157,0,0,45,20,35
158,0,0,45,25,30
159,0,0,45,30,25
160,0,0,45,35,20
161,0,0,45,40,15
162,0,0,45,45,10
163,0,0,45,50,5
164,0,0,45,55,0
165,0,0,50,0,50
166,0,0,50,5,45
167,0,0,50,10,40
168,0,0,50,15,35
169,0,0,50,20,30
170,0,0,50,25,25
171,0,0,50,30,20
172,0,0,50,35,15
173,0,0,50,40,10
174,0,0,50,45,5
175,0,0,50,50,0
176,0,0,55,0,45
177,0,0,55,5,40
178,0,0,55,10,35
179,0,0,55,15,30
180,0,0,55,20,25
181,0,0,55,25,20
182,0,0,55,30,15
183,0,0,55,35,10
184,0,0,55,40,5
185,0,0,55,45,0
186,0,0,60,0,40
187,0,0,60,5,35
188,0,0,60,10,30
189,0,0,60,15,25
190,0,0,60,20,20
191,0,0,60,25,15
192,0,0,60,30,10
193,0,0,60,35,5
194,0,0,60,40,0
195,0,0,65,0,35
196,0,0,65,5,30
197,0,0,65,10,25
198,0,0,65,15,20
199,0,0,65,20,15
200,0,0,65,25,10
201,0,0,65,30,5
202,0,0,65,35,0
203,0,0,70,0,30
204,0,0,70,5,25
205,0,0,70,10,20
206,0,0,70,15,15
207,0,0,70,20,10
208,0,0,70,25,5
209,0,0,70,30,0
210,0,0,75,0,25
211,0,0,75,5,20
212,0,0,75,10,15
213,0,0,75,15,10
214,0,0,75,20,5
215,0,0,75,25,0
216,0,0,80,0,20
217,0,0,80,5,15
218,0,0,80,10,10
219,0,0,80,15,5
220,0,0,80,20,0
221,0,0,85,0,15
222,0,0,85,5,10
223,0,0,85,10,5
224,0,0,85,15,0
225,0,0,90,0,10
226,0,0,90,5,5
227,0,0,90,10,0
228,0,0,95,0,5
229,0,0,95,5,0
230,0,0,100,0,0
231,0,5,0,0,95
232,0,5,0,5,90
233,0,5,0,10,85
234,0,5,0,15,80
235,0,5,0,20,75
236,0,5,0,25,70
237,0,5,0,30,65
238,0,5,0,35,60
239,0,5,0,40,55
240,0,5,0,45,50
241,0,5,0,50,45
242,0,5,0,55,40
243,0,5,0,60,35
244,0,5,0,65,30
245,0,5,0,70,25
246,0,5,0,75,20
247,0,5,0,80,15
248,0,5,0,85,10
249,0,5,0,90,5
250,0,5,0,95,0
251,0,5,5,0,90
252,0,5,5,5,85
253,0,5,5,10,80
254,0,5,5,15,75
255,0,5,5,20,70
256,0,5,5,25,65
257,0,5,5,30,60
258,0,5,5,35,55
259,0,5,5,40,50
260,0,5,5,45,45
261,0,5,5,50,40
262,0,5,5,55,35
263,0,5,5,60,30
264,0,5,5,65,25
265,0,5,5,70,20
266,0,5,5,75,15
267,0,5,5,80,10
268,0,5,5,85,5
269,0,5,5,90,0
270,0,5,10,0,85
271,0,5,10,5,80
272,0,5,10,10,75
273,0,5,10,15,70
274,0,5,10,20,65
275,0,5,10,25,60
276,0,5,10,30,55
277,0,5,10,35,50
278,0,5,10,40,45
279,0,5,10,45,40
280,0,5,10,50,35
281,0,5,10,55,30
282,0,5,10,60,25
283,0,5,10,65,20
